n_ot,producto_id,descripcion,cantidad,anio,mes,km,tipo_ot_desc,c_repuesto,descripcion_repuesto,marca_repuesto
10000275,SIN_CODIGO,Arandela De Tapon De Carter,1.0,2024,8,83841,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000275,01001-09020,"Plumilla 12""""",1.0,2024,8,83841,Reparación / Servicio,01001-09020,REPUESTO FALTANTE,SIN MARCA
10000283,SIN_CODIGO,Filtro De Aceite De Motor,1.0,2024,8,47346,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000283,SIN_CODIGO,Aceite De Motor,5.0,2024,8,47346,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000241,SIN_CODIGO,Bomba De Agua (electronica),1.0,2024,7,129469,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000271,SIN_CODIGO,Filtro De Cabina O Ac,1.0,2024,8,76791,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000271,SIN_CODIGO,Bujias,4.0,2024,8,76791,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000292,01001-01002,Aceite De Motor 10w30,6.0,2024,8,129418,Reparación / Servicio,01001-01002,REPUESTO FALTANTE,SIN MARCA
10000277,01001-03007,Arandela De Tapon De Carter,1.0,2024,8,41085,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000277,SIN_CODIGO,Esparrago De Rueda Delt.,1.0,2024,8,41085,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000284,SIN_CODIGO,Aceite De Motor,4.0,2024,8,97734,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000285,SIN_CODIGO,Soporte De Motor Izquierdo,1.0,2024,8,2,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000285,SIN_CODIGO,Sonda Lambda,2.0,2024,8,2,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000294,SIN_CODIGO,Agua Destilada,1.0,2024,8,89946,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000166,01001-02008,Foco Lagrima Chico W5w 12v 5w,1.0,2024,5,157326,Reparación / Servicio,01001-02008,REPUESTO FALTANTE,SIN MARCA
10000311,01001-01022,Aceite De Motor Diesel 15w40,7.0,2024,9,155959,Reparación / Servicio,01001-01022,REPUESTO FALTANTE,SIN MARCA
10000311,SIN_CODIGO,Filtro De Aceite De Motor,1.0,2024,9,155959,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000305,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2024,9,50797,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000330,MC,Material Consumible,1.0,2024,9,128434,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000330,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2024,9,128434,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000166,01001-02010,Foco Lagrimon 02 Cont.,2.0,2024,5,157326,Reparación / Servicio,01001-02010,REPUESTO FALTANTE,SIN MARCA
10000307,01001-06003,Filtro De Cabina A/c,1.0,2024,9,98457,Reparación / Servicio,01001-06003,REPUESTO FALTANTE,SIN MARCA
10000315,SIN_CODIGO,Soporte Delantero De Motor,1.0,2024,9,82075,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000340,SIN_CODIGO,Trapecio Superior Delantero Derecho,1.0,2024,9,88883,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000379,SIN_CODIGO,Filtro De Aire De Motor,1.0,2024,10,84677,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000350,SIN_CODIGO,Motorcito De Deposito De Agua Limpiaparabrisas (original),1.0,2024,10,106221,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000349,01001-01003,Refrigerante,1.0,2024,10,169278,Reparación / Servicio,01001-01003,REPUESTO FALTANTE,SIN MARCA
10000349,01001-06072,Filtro De Aceite,1.0,2024,10,169278,Reparación / Servicio,01001-06072,REPUESTO FALTANTE,SIN MARCA
10000336,SIN_CODIGO,Jgo. Empaques De Motor,1.0,2024,9,341487,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000389,FILTRO02,Filtro De Aire,1.0,2024,11,25228,Reparación / Servicio,FILTRO02,REPUESTO FALTANTE,SIN MARCA
10000335,01001-05002,Pastillas De Freno Delt.,1.0,2024,9,100284,Reparación / Servicio,01001-05002,REPUESTO FALTANTE,SIN MARCA
10000345,SIN_CODIGO,Soporte De Motor Lh,1.0,2024,10,87685,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000346,SIN_CODIGO,Ventilador De Motor (compatible),1.0,2024,10,100763,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000354,SIN_CODIGO,Filtro De Aceite De Motor,1.0,2024,10,110000,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000354,SIN_CODIGO,Filtro De Cabina O Ac,1.0,2024,10,110000,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000345,SIN_CODIGO,Tapa -valvula Pcv,1.0,2024,10,87685,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000378,MC,Material Consumible,1.0,2024,10,113580,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000370,SIN_CODIGO,Soporte De Caja,1.0,2024,10,208717,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000340,SIN_CODIGO,Filtro De Combustible,1.0,2024,9,88883,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000365,SIN_CODIGO,Valvula Pcv,1.0,2024,10,100388,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000379,SIN_CODIGO,Amortiguador De Capot Lh Y Rh,2.0,2024,10,84677,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000388,01001-03007,Arandela De Tapon De Carter,1.0,2024,11,35403,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000415,01001-03015,Empaque Vtc,1.0,2024,11,128220,Reparación / Servicio,01001-03015,REPUESTO FALTANTE,SIN MARCA
10000415,01001-04015,Poncho De Palier Int.,1.0,2024,11,128220,Reparación / Servicio,01001-04015,REPUESTO FALTANTE,SIN MARCA
10000406,MC,Material Consumible,1.0,2024,11,89145,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000396,SIN_CODIGO,Alternador,1.0,2024,11,127617,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000418,SIN_CODIGO,Bateria Principal,1.0,2024,11,54002,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000422,01001-01016,Aceite De Motor  5w40,5.0,2024,11,50583,Reparación / Servicio,01001-01016,REPUESTO FALTANTE,SIN MARCA
10000402,01001-03007,Arandela De Tapon De Carter,1.0,2024,11,85566,Reparación / Servicio,01001-03007,REPUESTO FALTANTE,SIN MARCA
10000424,SIN_CODIGO,Reten Delantero De Ciguenal (original),1.0,2024,11,146793,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000393,01001-01033,Aceite De Motor Sae 5w-30,5.0,2024,11,95359,Reparación / Servicio,01001-01033,REPUESTO FALTANTE,SIN MARCA
10000392,SIN_CODIGO,Valvula Pcv,1.0,2024,11,80101,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
