"CODIGO","DESCRIPCION","N_OT","CANTIDAD","PRECIO_UNITARIO","SUBTOTAL","IGV","TOTAL","FECHA_REGISTRO","REPARAR","C_MONEDA","N_PROFORMA","C_PROMOCION"
"","PASTILLAS DE FRENO DELT. HIBRIDAS CERAMICA",,1,430,430,77.4,507.4,15/01/2024 11:03:16 AM,0,"S",0,""
"","INSUMOS",10000040,1,60,60,10.8,70.8,13/06/2023 05:48:38 PM,0,"S",0,""
"","PASTILLAS DE FRENO POST. CERAMICA",,1,320,320,57.6,377.6,15/01/2024 11:03:16 AM,0,"S",0,""
"MC             ","Material Consumible",,1,60,60,10.8,70.8,15/01/2024 11:03:16 AM,0,"S",0,""
"01001-01004    ","SHAMPOO LIMPIAPARABRISAS WURTH 32ML.",10000088,1,7,7,1.26,8.26,05/03/2024 09:39:13 AM,0,"S",0,""
"01001-03007    ","ARANDELA DE TAPON DE CARTER",10000088,1,4.5,4.5,0.81,5.31,05/03/2024 09:39:13 AM,0,"S",0,""
"","INSUMOS",0,1,60,60,10.8,70.8,24/11/2023 01:43:18 PM,0,"S",0,""
"MC             ","MATERIAL CONSUMIBLE",10000088,1,60,60,10.8,70.8,05/03/2024 09:39:13 AM,0,"S",0,""
"01001-01001    ","Aceite De Motor   5w30 Sash",10000089,5,52.6,222.76,40.1,262.86,05/03/2024 03:35:30 PM,0,"S",0,""
"01001-01004    ","Shampoo Limpiaparabrisas Wurth 32ml.",10000089,1,7,7,1.26,8.26,05/03/2024 09:44:33 AM,0,"S",0,""
"01001-03007    ","Arandela De Tapon De Carter",10000089,1,4.5,4.5,0.81,5.31,05/03/2024 09:44:33 AM,0,"S",0,""
"01001-01001    ","Aceite De Motor   5w30 Sash",10000090,5,52.6,222.76,40.1,262.86,08/03/2024 05:12:21 PM,0,"S",0,""
"01001-06011    ","FILTRO DE ACEITE (GEELY)",10000089,1,45,40.5,7.29,47.79,05/03/2024 03:07:03 PM,0,"S",0,""
"01001-06012    ","FILTRO DE AIRE (GEELY)",10000089,1,37.8,34.02,6.12,40.14,05/03/2024 03:07:03 PM,0,"S",0,""
"01001-06013    ","FILTRO DE CABINA (GEELY)",10000089,1,42,37.8,6.8,44.6,05/03/2024 03:07:03 PM,0,"S",0,""
"01001-01004    ","SHAMPOO LIMPIAPARABRISAS WURTH 32ML.",10000090,1,7,7,1.26,8.26,05/03/2024 09:47:39 AM,0,"S",0,""
"01001-03007    ","ARANDELA DE TAPON DE CARTER",10000090,1,4.5,3.51,0.63,4.14,08/03/2024 05:12:21 PM,0,"S",0,""
"01001-06014    ","FILTRO DE ACEITE (HONDA)",10000090,1,35,31.5,5.67,37.17,08/03/2024 05:12:21 PM,0,"S",0,""
"MC             ","Material Consumible",10000091,1,60,60,10.8,70.8,08/03/2024 10:09:28 AM,0,"S",0,""
"01001-01004    ","Shampoo Limpiaparabrisas Wurth 32ml.",10000091,1,7,7,1.26,8.26,08/03/2024 10:09:29 AM,0,"S",0,""
"01001-06015    ","Filtro De Cabina A/c (land Rover)",10000091,1,195,195,35.1,230.1,08/03/2024 05:46:55 PM,0,"S",0,""
"01001-06016    ","Filtro De Aceite (land Rover)",10000091,1,85,85,15.3,100.3,08/03/2024 05:46:55 PM,0,"S",0,""
"01001-06017    ","Filtro De Aire (land Rover)",10000091,1,145,145,26.1,171.1,08/03/2024 05:46:55 PM,0,"S",0,""
"01001-01010    ","ACEITE DE MOTOR SINTETICO 5W-30 MOVIL 1",10000091,6,63.34,380.04,68.41,448.45,08/03/2024 05:52:17 PM,0,"S",0,""
"01001-03019    ","Bujias (land Rover)",10000091,4,97.5,390,70.2,460.2,08/03/2024 05:48:18 PM,0,"S",0,""
"01001-03007    ","Arandela De Tapon De Carter",10000091,1,4.5,4.5,0.81,5.31,08/03/2024 10:09:29 AM,0,"S",0,""
"01001-01006    ","LIQUIDO DE FRENO DOT4  500ML",10000085,3,45,135,24.3,159.3,06/03/2024 05:22:54 PM,0,"S",0,""
"01001-01502    ","Grasa De Palier ( Pote )",10000092,1,25,21.18,3.81,24.99,04/04/2024 11:13:03 AM,0,"S",0,""
"01001-03014    ","Empaque De Valvula Vtec (15815-raa-a02)",10000093,1,46,46,8.28,54.28,08/03/2024 06:29:19 PM,0,"S",0,""
"01001-03015    ","Empaque Vtc (15845-raa-a01)",10000093,1,70,70,12.6,82.6,08/03/2024 06:29:45 PM,0,"S",0,""
"01001-03016    ","Anillo De Jebe 13x1.5 (91319-paa-a01)",10000093,1,20.21,18.8,3.38,22.18,08/03/2024 06:33:04 PM,0,"S",0,""
"01001-03017    ","Anillo De Jebe 16.7x1.8 (91347-paa-a01)",10000093,1,5.92,5.92,1.07,6.99,08/03/2024 09:37:05 AM,0,"S",0,""
"01001-01001    ","Aceite De Motor   5w30 Sash",10000094,4,56.67,226.68,40.8,267.48,08/03/2024 06:38:05 PM,0,"S",0,""
"01001-01004    ","SHAMPOO LIMPIAPARABRISAS WURTH 32ML.",10000094,1,7,7,1.26,8.26,08/03/2024 09:40:47 AM,0,"S",0,""
"01001-03007    ","ARANDELA DE TAPON DE CARTER",10000094,1,4.5,4.5,0.81,5.31,08/03/2024 09:40:47 AM,0,"S",0,""
"MC             ","MATERIAL CONSUMIBLE",10000094,1,60,60,10.8,70.8,08/03/2024 09:40:47 AM,0,"S",0,""
