CODIGO,DESCRIPCION,N_OT,CANTIDAD,PRECIO_UNITARIO,SUBTOTAL,IGV,TOTAL,FECHA_REGISTRO,REPARAR,C_MONEDA,N_PROFORMA,C_PROMOCION
01001-01002,Aceite De Motor 10w30 Sash,10000145,6,45,270,48.6,318.6,18/04/2024 11:46:19 AM,0,S,0,
01001-02503,Bobina De Encendido (vw Gol Voyage),10000147,1,531.35,531.35,95.64,626.99,18/04/2024 12:35:29 PM,0,S,0,
01001-05026,Kit De Suspencion Delt.,10000132,1,2100,1890,340.2,2230.2,25/04/2024 06:19:55 PM,0,S,0,
01001-05027,Amortiguadores Post.,10000132,2,445,801,144.18,945.18,25/04/2024 06:19:55 PM,0,S,0,
01001-01020,Refrigerante Auto Cool Optmal (motul),10000134,1,280,280,50.4,330.4,01/10/2024 09:04:09 PM,0,S,0,
01001-06049,Filtro De Aceite (a 4),10000132,1,85,85,15.3,100.3,25/04/2024 05:24:51 PM,0,S,0,
01001-06050,Filtro De Aire (a 4),10000132,1,165,165,29.7,194.7,25/04/2024 05:24:51 PM,0,S,0,
01001-06051,Filtro De Cabina A/c (a 4),10000132,1,115.5,115.5,20.79,136.29,25/04/2024 05:24:51 PM,0,S,0,
01001-05029,Pastillas De Freno Delt. (a6),10000146,1,363.56,363.56,65.44,429,23/04/2024 02:33:17 PM,0,S,0,
01001-05030,Disco De Freno Delt. (a6),10000146,2,293.65,587.3,105.71,693.01,23/04/2024 02:33:17 PM,0,S,0,
MC,Material Consumible,10000161,1,60,60,10.8,70.8,27/04/2024 01:52:40 PM,0,S,0,
01001-06053,Filtro De Aire-combustible (precanister) (s60),10000136,1,489.06,449.94,80.99,530.93,29/04/2024 10:40:52 AM,0,S,0,
MC,Material consumible,10000158,1,60,54,9.72,63.72,30/04/2024 12:16:34 PM,0,S,0,
01001-01004,Shampoo limpiaparabrisas wurth 32ml.,10000158,1,7.5,6.75,1.22,7.97,30/04/2024 12:16:34 PM,0,S,0,
01001-01001,Aceite De Motor  5w30 Sash,10000158,6,56.66,305.96,55.07,361.03,30/04/2024 12:16:34 PM,0,S,0,
MC,Material consumible,10000156,1,60,60,10.8,70.8,30/04/2024 11:13:20 AM,0,S,0,
01001-01004,Shampoo limpiaparabrisas wurth 32ml.,10000156,1,7,7,1.26,8.26,30/04/2024 11:13:20 AM,0,S,0,
01001-03007,Arandela de tapon de carter,10000156,1,4.5,4.5,0.81,5.31,30/04/2024 11:13:20 AM,0,S,0,
01001-01002,ACEITE DE MOTOR 10W30 SASH,10000120,5,45,225,40.5,265.5,04/04/2024 11:36:54 AM,0,S,0,
01001-03024,BUJIAS,10000109,4,21,84,15.12,99.12,02/05/2024 08:51:58 PM,0,S,0,
01001-01002,ACEITE DE MOTOR 10W30 SASH,10000109,5,47.7,238.5,42.93,281.43,02/05/2024 08:47:26 PM,0,S,0,
01001-03007,ARANDELA DE TAPON DE CARTER,10000109,1,4.5,4.5,0.81,5.31,21/03/2024 03:02:21 PM,0,S,0,
01001-01004,SHAMPOO LIMPIAPARABRISAS WURTH 32ML.,10000109,1,7,7,1.26,8.26,21/03/2024 03:02:21 PM,0,S,0,
MC,Material Consumible,10000109,1,60,60,10.8,70.8,21/03/2024 03:02:21 PM,0,S,0,
01001-06025,Filtro De Aire (cr-v),10000109,1,45,40.5,7.29,47.79,02/05/2024 08:47:26 PM,0,S,0,
01001-06026,Filtro De Aceite (cr-v),10000109,1,35,31.5,5.67,37.17,02/05/2024 08:47:26 PM,0,S,0,
01001-06003,Filtro De Cabina,10000109,1,75,67.5,12.15,79.65,02/05/2024 08:47:26 PM,0,S,0,
01001-01001,Aceite De Motor   5w30 Sash,10000108,4,56.67,226.68,40.8,267.48,21/03/2024 03:02:59 PM,0,S,0,
01001-03007,Arandela De Tapon De Carter,10000108,1,4.5,4.5,0.81,5.31,21/03/2024 03:02:59 PM,0,S,0,
01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,10000108,1,7,7,1.26,8.26,21/03/2024 03:02:59 PM,0,S,0,
MC,Material Consumible,10000108,1,60,60,10.8,70.8,21/03/2024 03:02:59 PM,0,S,0,
01001-06020,Filtro De Aire (civic),10000108,1,32.18,32.18,5.79,37.97,21/03/2024 03:02:59 PM,0,S,0,
01001-06014,Filtro De Aceite (honda),10000108,1,35,35,6.3,41.3,21/03/2024 03:02:59 PM,0,S,0,
01001-06003,Filtro De Cabina,10000108,1,27.97,27.97,5.03,33,21/03/2024 03:02:59 PM,0,S,0,
