OT,FECHA,PLACA,C_USUARIO,C_SEGURO,C_BROKER,C_TIPOOT,C_RECORDATORIO,KM,FHSALIDA,VIN,C_ESTADO,FHACTUALREG,COLOR,REQUERIMIENTO,CODIGO,DESCRIPCION,N_OT,CANTIDAD,PRECIO_UNITARIO,SUBTOTAL,IGV,TOTAL,FECHA_REGISTRO,REPARAR,C_MONEDA,N_PROFORMA,C_PROMOCION,N_OC,CANTIDAD_oc,OBSERVACION,PRECIO_UNITARIO_oc,TOTAL_oc,C_REPUESTO,IDINTERNO
10000033,23/05/2023 05:20:24 PM,AUH012 ,10002756,99,,R,,21000,13/06/2024 10:25:16 AM,WDDWF4AB4HF453228,S7,23/05/2023 05:26:56 PM,PLATA,SERVICIO MENOR ,MC,Material Consumible,10000033,1,60,60,10.8,70.8,12/02/2024 03:36:13 PM,0,S,0,,,,,,,,
10000049,18/07/2023 01:30:49 PM,D3R385 ,10000017,99,,R,,82112,19/07/2024 03:13:02 PM,KL1PJ5E53DK011962,S7,18/07/2023 04:55:14 PM,NEGRO,Servicio Mayor Cambio de empaque de tapa de balancines,SHAMPOO01,Shampoo Limpia Parabrisas,10000049,1,7,7,1.26,8.26,12/02/2024 03:30:16 PM,0,S,0,,,,,,,,
10000049,18/07/2023 01:30:49 PM,D3R385 ,10000017,99,,R,,82112,19/07/2024 03:13:02 PM,KL1PJ5E53DK011962,S7,18/07/2023 04:55:14 PM,NEGRO,Servicio Mayor Cambio de empaque de tapa de balancines,BPA000000100008,Arandela,10000049,1,3.5,3.5,0.63,4.13,12/02/2024 03:30:16 PM,0,S,0,,,,,,,,
10000067,12/02/2024 12:00:00 AM,B1V193 ,10000073,99,,R,,71378,23/02/2026 01:15:33 PM,3D4PG5FBXAT262177,S7,17/02/2024 08:32:50 AM,AZUL,CAMBIO DE SENSOR DE RUEDA DELT RH CUADRAR PARACH. DELT MODULO ABS,01001-04001,SENSOR ABS DELT. DER. (DODGE),10000067,1,620,620,111.6,731.6,29/02/2024 09:11:48 AM,0,S,0,,10000006,1,,343.24,343.24,01001-04001,50355453
10000068,13/02/2024 12:00:00 AM,ANH339 ,10000115,99,,R,,70706,22/02/2024 07:26:49 PM,3VW151AJ5GM256304,S6,17/02/2024 08:46:58 AM,NEGRO PERLADO,FALLA ELECTRICA,01001-03006,Sensor De Impulsos Cigue?al,10000068,1,320,320,57.6,377.6,20/02/2024 05:10:12 PM,0,S,0,,10000016,1,Requerimiento Inmediato,160.51,160.51,01001-03006,50355613
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-01004,SHAMPOO LIMPIAPARABRISAS WURTH 32ML.,10000069,1,7,7,1.26,8.26,04/03/2024 08:52:47 AM,0,S,0,,,,,,,,
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-02007,FOCO W16W 12V. 16W. TIPO LAGRIMA MED.,10000069,1,15,13.5,2.43,15.93,21/03/2024 02:50:06 PM,0,S,0,,,,,,,,
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-03007,ARANDELA DE TAPON DE CARTER,10000069,1,5.85,5,0.9,5.9,26/03/2024 03:58:09 PM,0,S,0,,10000027,2,,1.47,2.94,01001-03007,50355774
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-03007,ARANDELA DE TAPON DE CARTER,10000069,1,5.85,5,0.9,5.9,26/03/2024 03:58:09 PM,0,S,0,,10000062,5,,0.85,4.25,01001-03007,50356436
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,MC,MATERIAL CONSUMIBLE,10000069,1,60,60,10.8,70.8,21/03/2024 04:49:40 PM,0,S,0,,,,,,,,
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000009,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355476
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000017,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355635
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000018,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355636
10000069,14/02/2024 12:00:00 AM,BOY822 ,10002789,99,,R,,66656,26/03/2024 04:00:35 PM,JSAERA31S65252430,S6,26/03/2024 04:00:13 PM,BURDEO,Serv. preventivo menor PyP funda parach. delt Revisar AC Revisar bateria Cliente manifiesta sonido en la parte delt.,01001-06002,FILTRO DE ACEITE,10000069,1,28,25.2,4.54,29.74,26/03/2024 03:49:20 PM,0,S,0,,10000057,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356373
