N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000171,1,Requerimiento Inmediato,15.25,15.25,01001-03056,50357974
10000171,1,Requerimiento Inmediato,10.17,10.17,01001-03057,50357975
10000172,24,,5.5,132,01001-01507,50357993
10000174,1,Requerimiento Inmediato,38.14,38.14,01001-04010,50358033
10000177,1,Requerimiento Inmediato,254.24,254.24,01001-05045,50358093
10000177,1,Requerimiento Inmediato,254.24,254.24,01001-05046,50358094
10000178,1,Requerimiento Inmediato,21.19,21.19,01001-02055,50358113
10000179,1,Requerimiento Inmediato,22.88,22.88,01001-03061,50358133
10000179,1,Requerimiento Inmediato,22.88,22.88,01001-04011,50358134
10000180,2,Requerimiento Inmediato,12.71,25.42,01001-04012,50358153
10000181,4,Requerimiento Inmediato,105.71,422.84,01001-03062,50358173
10000182,1,Requerimiento Inmediato,21.19,21.19,01001-06027,50358193
10000182,1,Requerimiento Inmediato,21.19,21.19,01001-06028,50358194
10000182,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50358195
10000183,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50358213
10000183,1,Requerimiento Inmediato,21.19,21.19,01001-06024,50358214
10000183,1,Requerimiento Inmediato,19.49,19.49,01001-06067,50358215
10000183,1,Requerimiento Inmediato,19.49,19.49,01001-06067,50358216
10000183,1,Requerimiento Inmediato,21.19,21.19,01001-06024,50358217
10000183,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50358218
10000184,1,Requerimiento Inmediato,42.38,42.38,01001-03063,50358233
10000184,1,Requerimiento Inmediato,93.22,93.22,01001-02507,50358234
10000002,48,,20.13,966.24,BPA40011,50355373
10000002,16,,25.42,406.72,BPA40012,50355374
10000002,16,,25.42,406.72,BPA40013,50355375
10000004,1,Requerimiento Inmediato,32.2,32.2,01001-03001,50355413
10000004,1,Requerimiento Inmediato,38.14,38.14,01001-03002,50355414
10000004,1,Requerimiento Inmediato,50.85,50.85,01001-03003,50355415
10000010,12,,25.43,305.16,01001-01005,50355493
10000013,2,Requerimiento Inmediato,13.06,26.12,01001-21004,50355557
10000024,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355713
